,datetime,latitude,longitude,altitude,speed,course,address,attributes
0,2020-10-22 18:00:19,37.5557435,127.0493858,64.4000015258789,0.0,0.0,,"{""batteryLevel"":92.0,""distance"":0.81,""totalDistance"":6.874783785E7,""motion"":false}"
1,2020-10-22 18:10:20,37.5557551,127.0493873,63.19999694824219,0.0,0.0,,"{""batteryLevel"":96.0,""distance"":1.3,""totalDistance"":6.874783915E7,""motion"":false}"
2,2020-10-22 18:28:30,37.5557472,127.0493873,63.19999694824219,0.0,0.0,,"{""batteryLevel"":100.0,""distance"":0.88,""totalDistance"":6.874784003E7,""motion"":false}"
3,2020-10-22 18:31:01,37.5558536,127.0493362,64.5999984741211,0.0,0.0,,"{""batteryLevel"":100.0,""distance"":12.67,""totalDistance"":6.87478527E7,""motion"":false}"
5,2020-10-22 18:31:45,37.5559483,127.0491557,60.89999771118164,0.0,0.0,,"{""batteryLevel"":99.0,""distance"":20.13,""totalDistance"":6.874787454E7,""motion"":false}"
6,2020-10-22 18:32:07,37.5558755,127.0492632,45.89999771118164,0.0,0.0,,"{""batteryLevel"":99.0,""distance"":12.48,""totalDistance"":6.874788702E7,""motion"":false}"
7,2020-10-22 18:32:32,37.5558301,127.0495242,45.89999771118164,0.0,0.0,,"{""batteryLevel"":99.0,""distance"":23.58,""totalDistance"":6.87479106E7,""motion"":false}"
8,2020-10-22 18:32:52,37.5558438,127.0494897,45.89999771118164,0.0,0.0,,"{""batteryLevel"":99.0,""distance"":3.41,""totalDistance"":6.874791401E7,""motion"":false}"
9,2020-10-22 18:33:12,37.555845,127.0494948,47.099998474121094,0.0,0.0,,"{""batteryLevel"":99.0,""distance"":0.47,""totalDistance"":6.874791448E7,""motion"":false}"
10,2020-10-22 18:33:32,37.5558583,127.0492324,45.89999771118164,0.0,0.0,,"{""batteryLevel"":99.0,""distance"":23.2,""totalDistance"":6.874793768E7,""motion"":false}"
11,2020-10-22 18:33:52,37.5559182,127.0487479,48.39999771118164,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":43.27,""totalDistance"":6.874798095E7,""motion"":false}"
14,2020-10-22 18:34:55,37.5553536,127.0489506,55.89999771118164,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":65.73,""totalDistance"":6.874815936E7,""motion"":false}"
15,2020-10-22 18:35:15,37.5553568,127.0488835,56.0,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":5.93,""totalDistance"":6.874816529E7,""motion"":false}"
16,2020-10-22 18:35:55,37.5556321,127.0487627,56.599998474121094,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":32.45,""totalDistance"":6.874819774E7,""motion"":false}"
17,2020-10-22 18:36:15,37.5549971,127.0483423,56.599998474121094,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":79.83,""totalDistance"":6.874827757E7,""motion"":false}"
18,2020-10-22 18:36:35,37.5549971,127.0483423,54.29999923706055,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":0.0,""totalDistance"":6.874827757E7,""motion"":false}"
19,2020-10-22 18:37:15,37.5549643,127.0479304,51.79999923706055,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":36.53,""totalDistance"":6.87483141E7,""motion"":false}"
20,2020-10-22 18:37:35,37.5551932,127.046683,59.19999694824219,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":112.99,""totalDistance"":6.874842709E7,""motion"":false}"
24,2020-10-22 18:39:02,37.5547995,127.0453693,55.599998474121094,0.0,0.0,,"{""batteryLevel"":98.0,""distance"":0.0,""totalDistance"":6.874858304E7,""motion"":false}"
26,2020-10-22 18:40:02,37.5543823,127.0444409,59.19999694824219,0.0,0.0,,"{""batteryLevel"":97.0,""distance"":68.82,""totalDistance"":6.874867728E7,""motion"":false}"
27,2020-10-22 18:40:22,37.5543056,127.044362,58.69999694824219,0.0,0.0,,"{""batteryLevel"":97.0,""distance"":11.02,""totalDistance"":6.87486883E7,""motion"":false}"
29,2020-10-22 18:41:02,37.5543848,127.0440478,59.599998474121094,0.0,0.0,,"{""batteryLevel"":97.0,""distance"":28.76,""totalDistance"":6.874872497E7,""motion"":false}"
30,2020-10-22 18:41:42,37.5544808,127.0437689,62.79999923706055,0.0,0.0,,"{""batteryLevel"":97.0,""distance"":26.83,""totalDistance"":6.87487518E7,""motion"":false}"
31,2020-10-22 18:42:02,37.5545261,127.0438429,59.69999694824219,0.0,0.0,,"{""batteryLevel"":97.0,""distance"":8.25,""totalDistance"":6.874876005E7,""motion"":false}"
34,2020-10-22 18:43:45,37.5554421,127.0436725,50.29999923706055,0.0,0.0,,"{""batteryLevel"":97.0,""distance"":54.84,""totalDistance"":6.874891914E7,""motion"":false}"
35,2020-10-22 18:44:05,37.5554365,127.0436552,46.0,0.0,0.0,,"{""batteryLevel"":97.0,""distance"":1.65,""totalDistance"":6.874892079E7,""motion"":false}"
37,2020-10-22 18:45:07,37.5543336,127.0453725,55.89999771118164,0.0,0.0,,"{""batteryLevel"":96.0,""distance"":114.83,""totalDistance"":6.874911585E7,""motion"":false}"
38,2020-10-22 18:45:37,37.5514441,127.0439149,37.29999923706055,0.0,0.0,,"{""batteryLevel"":96.0,""distance"":346.43,""totalDistance"":6.874946228E7,""motion"":false}"
