,datetime,latitude,longitude,altitude,speed,course,address,attributes
4,2020-10-22 18:31:23,37.5558382,127.0493366,64.5999984741211,0.09343172943100332,147.6372528076172,,"{""batteryLevel"":100.0,""distance"":1.71,""totalDistance"":6.874785441E7,""motion"":true}"
12,2020-10-22 18:34:15,37.555168,127.048516,56.0,6.131846643859863,206.68252563476562,,"{""batteryLevel"":98.0,""distance"":85.98,""totalDistance"":6.874806693E7,""motion"":true}"
13,2020-10-22 18:34:35,37.5549412,127.0484176,67.69999694824219,2.550086807972431,187.42111206054688,,"{""batteryLevel"":98.0,""distance"":26.7,""totalDistance"":6.874809363E7,""motion"":true}"
21,2020-10-22 18:37:55,37.5549554,127.0459159,54.29999923706055,1.380752652417183,182.51861572265625,,"{""batteryLevel"":98.0,""distance"":72.69,""totalDistance"":6.874849978E7,""motion"":true}"
22,2020-10-22 18:38:21,37.5547825,127.0460542,48.5,0.46037226903176304,12.357804298400879,,"{""batteryLevel"":98.0,""distance"":22.79,""totalDistance"":6.874852257E7,""motion"":true}"
23,2020-10-22 18:38:42,37.5547995,127.0453693,51.099998474121094,5.433869530125618,272.0,,"{""batteryLevel"":98.0,""distance"":60.47,""totalDistance"":6.874858304E7,""motion"":true}"
25,2020-10-22 18:39:37,37.5546985,127.045111,54.79999923706055,2.4785199282016754,261.77392578125,,"{""batteryLevel"":97.0,""distance"":25.42,""totalDistance"":6.874860846E7,""motion"":true}"
28,2020-10-22 18:40:42,37.5542428,127.04432,57.099998474121094,2.1477921700959204,213.64768981933594,,"{""batteryLevel"":97.0,""distance"":7.91,""totalDistance"":6.874869621E7,""motion"":true}"
32,2020-10-22 18:42:30,37.5552006,127.0437447,50.39999771118164,0.5395591115108728,22.840740203857422,,"{""batteryLevel"":97.0,""distance"":75.58,""totalDistance"":6.874883563E7,""motion"":true}"
33,2020-10-22 18:43:03,37.5550018,127.0439513,50.39999771118164,1.1902975543870926,337.0352478027344,,"{""batteryLevel"":97.0,""distance"":28.67,""totalDistance"":6.87488643E7,""motion"":true}"
36,2020-10-22 18:44:46,37.5549766,127.0443551,46.39999771118164,2.3817291673135754,103.0,,"{""batteryLevel"":96.0,""distance"":80.23,""totalDistance"":6.874900102E7,""motion"":true}"
